Who named Pittsburgh in 1758?,Pittsburgh was named by General John Forbes in 1758 in honor of British statesman William Pitt 1st Earl of Chatham.
What was the Pittsburgh's name recognized as from 1891 to 1911?,"The name Pittsburgh was recognized as Pittsburg by the federal government from 1891 to 1911. However, the city government and other local organizations continued to use the original spelling with an h."
When did Pittsburgh become incorporated as a city?,Pittsburgh was incorporated as a city in 1816.
What major expedition started preparations in Pittsburgh in 1803?,The Lewis and Clark Expedition began preparations in Pittsburgh in 1803 when Meriwether Lewis purchased a keelboat for their journey up the Missouri River.
Who was the first known European to explore the Pittsburgh region?,"The first known European to explore the Pittsburgh region was likely European explorers, specifically those led by Jacques Cartier and René-Robert Cavelier, Sieur de La Salle, in the late 16th and early 17th centuries. However, the strategic confluence of the Allegheny and Monongahela Rivers, which forms the Ohio River leading to the Mississippi, was not settled until the late 18th century."
What early archaeological site near Pittsburgh provides evidence of Paleo-Indian habitation?,"The Meadowcroft Rockshelter, an archaeological site west of Pittsburgh, provides evidence of Paleo-Indian habitation in the region, dating back to around 19,000 years ago."
What was the principal residence of Lenape chief Shingas?,"The principal residence of Lenape chief Shingas was at Sawcunk, which is located on the mouth of the Beaver River."
What was the first European-built fort at the site of present-day Pittsburgh?,"The first European-built fort at the site of present-day Pittsburgh was Fort Prince George, begun in February 1754 by Captain William Trent. However, it was only half-built when the French arrived and ordered the colonials back to Virginia, and the French then constructed Fort Duquesne on the same site. Fort Pitt, built later in 1764, served as a headquarters during the American Revolutionary War and is now represented by the Blockhouse, the oldest intact building in Pittsburgh."
What was the name of the Pittsburgh revitalization project that began in 1946?,"The Renaissance I project began in Pittsburgh in 1946. It was initiated through the Housing Act of 1949, which provided the means for demolishing buildings and land near the Point, leading to the development of Gateway Center."
When did the Three Rivers Stadium open?,The Three Rivers Stadium opened in 1970.
What organization should private tree planters register their trees with?,"The Forestry Division is responsible for managing the city's urban forest, including planting and inspection of trees. Private tree planters should register their trees with the Forestry Division."
What are the normal operating hours for Pittsburgh parks?,"Pittsburgh parks do not have specific normal operating hours mentioned in the provided documents. However, the Pittsburgh Opera's office hours are from 9AM to 5PM Eastern Time Monday to Friday, and summer office hours are from 9AM to 5PM Eastern Time Monday to Thursday and 9AM to 10PM on Fridays."
What is the estimated cost to inject a 10-inch diameter tree with systemic control?,The documents do not provide the estimated cost to inject a 10-inch diameter tree with systemic control.
Where is the Black History Month Opening Reception held?,The Black History Month Opening Reception is held at Heinz Galleries.
How long does each speaker have to comment during Council meetings?,The documents provided do not contain information about the length of time each speaker has to comment during Council meetings.
What major fire in Pittsburgh occurred in 1845?,The Great Fire of Pittsburgh destroyed over a thousand buildings in 1845. The city rebuilt with the aid of Irish immigrants who came to escape the Great Famine.
"When did Pittsburgh's population peak at more than 675,000?","Pittsburgh's population peaked at more than 680,000 in the industrial era around 1950. However, since then, the city's population has decreased while the metropolitan area population has increased. The population was 302,971 in 2020."
What year was the University of Pittsburgh chartered?,The University of Pittsburgh was chartered in 1787.
What was Pittsburgh known as by 1850 due to its growing industry?,"Pittsburgh was known as the Steel City by the late 19th century due to its dominant role in the US steel industry. However, by 1850, Pittsburgh was already known for its growing industry, particularly in iron and coal."
What two rivers unite at the “Golden Triangle” in Pittsburgh?,The Allegheny River and the Monongahela River converge at the Golden Triangle in Pittsburgh.
When did the revised Payroll Tax regulations for the City of Pittsburgh become effective?,"The revised Payroll Tax regulations for the City of Pittsburgh became effective on January 1, 2020."
What is the Payroll Tax rate in Pittsburgh?,"The Payroll Tax is levied at a rate of 0.55 percent on the gross payroll of employers and the distribution of net income from self-employed individuals, members of partnerships, associations, joint ventures or other entities who perform work or provide services within the City of Pittsburgh."
How often must the Payroll Tax be paid?,"The Payroll Tax is paid quarterly, with each quarterly return due on May 31, August 31, November 30, and February 28 of the current and succeeding years, respectively. The tax is based on the payroll expense during the corresponding quarters."
What is the deadline for paying the first quarter Payroll Tax?,The first quarter Payroll Tax is due on May 31 of the current year.
Who handles the collection and administration of the Payroll Tax in Pittsburgh?,"The Director and Department of Finance in the City of Pittsburgh are responsible for the collection and administration of the Payroll Tax. The Director holds principal responsibility, while the Deputy Director of Finance serves as City Treasurer."
How much is budgeted for Workforce Training in 2024?,"The budgeted amount for Workforce Training in 2024 is $41,016."
What is the FTE (Full-Time Equivalent) for the Director - City Treasurer position in 2024?,The FTE for the Director - City Treasurer position in 2024 is 100%.
How much is the 2024 budget for the Financial Analyst position?,"The 2024 budget for the Financial Analyst position is $5,843,553."
What percentage allocation of the Director is funded by the Department of Finance in 2024?,The Director position in 2024 is funded 85% by the Department of Finance.
What is the hourly rate for a part-time Law Clerk in 2024?,The hourly rate for a part-time Law Clerk in 2024 is 13.80.
In what year did Carnegie Mellon University merge with the Mellon Institute?,Carnegie Mellon University merged with the Mellon Institute in 1967. This merger allowed Carnegie Mellon to establish the Mellon College of Science and the College of Humanities and Social Sciences. The industrial research mission of the Mellon Institute survived the merger as the Carnegie Mellon Research Institute.
What is the highest ranking CMU achieved in undergraduate computer science according to U.S. News & World Report 2023?,"Carnegie Mellon University's undergraduate computer science program is consistently ranked as the best in the nation by U.S. News & World Report, tied with MIT, Stanford, and UC Berkeley. The university has also been ranked as having 23 graduate programs in the Top 10 and 16 in the Top 5 nationwide, including the first-ranked Artificial Intelligence, Programming Languages, and Information and Technology Management programs. (Source:"
Who created the smiley :-) while working at Carnegie Mellon University?,The text does not provide information on who created the smiley :-) at Carnegie Mellon University.
What year was CMU’s Robotics Institute founded?,"The Robotics Institute at Carnegie Mellon University was founded in the late 1970s. It is known for pioneering work in self-driving cars, facial recognition, and natural language processing."
Who founded the discipline of Field Robotics at Carnegie Mellon?,"The discipline of Field Robotics was pioneered at Carnegie Mellon, a leading research university known for its advances in computer science and multiple firsts in various fields including robotics."
"Where does ""HI - CMU Meetup: Rock Climbing"" take place on October 27?","The ""HI - CMU Meetup: Rock Climbing"" event takes place in Honolulu HI on October 27, 2024."
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","The Alumni Awards Ceremony of CMU is held on November 1, 2024, at 6:30 pm in Simmons Auditorium, Tepper Building, Pittsburgh."
"When is ""NYC - Fall Happy Hour"" of CMU held at New York?","The ""NYC - Fall Happy Hour"" event is held on November 02, 2024, at New York NY. The CMU Chorus Singers' performance is on November 21, 2024, at 10 pm, at Kresge Theatre, College of Fine Arts, 5000 Forbes, Pittsburgh PA. Therefore, the ""NYC - Fall Happy Hour"" of CMU is not on the same day as the CMU Chorus Singers' performance in New York."
"Where does ""ATL - Alumni Event Planning Meeting"" take place on November 06, 2024?","I'm sorry, there is no document provided for an ""ATL - Alumni Event Planning Meeting"" taking place on November 06, 2024. Therefore, I cannot provide an answer for this question."
"When is ""PIT - Saint Anthony Chapel Tour"" held on November 09, 2024?","The ""PIT - Saint Anthony Chapel Tour"" is an ongoing event with no specific date mentioned in the provided document. Therefore, it cannot be held on November 09, 2024."
"What time is the ""Lucky Draw"" event at Arcade Comedy Theater started on October 27?","The ""Lucky Draw"" event at Arcade Comedy Theater starts at 7:30 pm on October 27."
"What is the name of event happening at Heinz History Center on October 27, 2024?","I'm sorry, there is no information provided in the documents about an event happening at Heinz Architectural Center on October 27, 2024."
When will NACADA's 2024 Annual Conference take place?,"The NACADA 2024 Annual Conference will take place from October 27 to October 30, 2024.
It will be held at the David L Lawrence Convention Center in Pittsburgh, PA.
Attendees are responsible for their own lunch and dinner arrangements."
"What time is ""Peter Pan"" happening on October 27, 2024?","The ""Peter Pan"" production by Pittsburgh Ballet Theatre is happening on October 27, 2024, at the Benedum Center. The specific date mentioned in the document is a Sunday."
"Where is ""Harry Potter and the Order of the Phoenix in Concert"" held on October 27, 2024?","The ""Harry Potter and the Order of the Phoenix in Concert"" event on October 27, 2024, takes place at Heinz Hall."
"Where is the ""Kim Bond: We Are Not Alone"" exhibition held?","The ""Kim Bond: We Are Not Alone"" exhibition is held at 707 Gallery, located at 707 Penn Avenue, Pittsburgh PA 15222."
What is the exhibition at Heinz History Center offering free admission for kids,"During the period from October 1, 2024 to November 30, 2024, kids can enjoy free admission to the Heinz History Center in Pittsburgh, PA, located at 1212 Smallman St."
What is the all-ages adventure happening at the O'Reilly Theater in October 2024?,"The Halloween Fun Cruise is a family-friendly event happening at the O'Reilly Theater during October 2024. It includes fun prizes, music, and a costume party. The exact date and time are yet to be announced."
"When is the ""Pennsylvania Bridal & Wedding Expo"" happening?","The Pennsylvania Bridal & Wedding Expo is happening on November 3, 2024, at the David L Lawrence Convention Center in Pittsburgh, PA."
"Where is the ""Disney's Beauty and the Beast"" performance happening from November 7-10, 2024?","The ""Disney's Beauty and the Beast"" performance is happening at Byham Theater, located at 101 Sixth Street, Pittsburgh PA 15222."
"Where is ""Jesse Factor: The Marthaodyssey"" happening in November?","Jesse Factor: The Marthaodyssey is happening at Kelly Strayhorn Theater during the evenings of Fri Nov 8 and Sat Nov 9, 2020."
"When is the ""Shimmering Soundscapes"" concert happening","The ""Shimmering Soundscapes"" concert is happening on Saturday, November 9, 2024, starting at 7:30 pm."
"What is the name of the tribute band performing at the Hard Rock Cafe on November 9, 2024","The name of the tribute band performing at the Hard Rock Cafe on November 9, 2024 is Alive in the Dirt, a tribute to 90s Grunge Icons."
"What time does the ""SpinCycle Returns to Riley's Pour House!"" event start?","The ""SpinCycle Returns to Riley's Pour House!"" event starts at 8:11 pm."
"What are the dates for the ""bach-beethoven-brunch"" event?","The ""Beethoven and Brahms"" event by the Pittsburgh Symphony Orchestra at Heinz Hall will take place from Fri Apr 25 to Sun Apr 27, 2025."
Who is the Manager of Ticket Sales and Operations?,The Manager of Ticket Sales and Operations is Paul Perez.
"Which executive holds the title of Senior Manager, Club Seat Sales and Retention?","George Birman holds the title of Senior Manager, Club Seat Sales and Retention."
"What time does the game against the Anaheim Ducks start on October 29, 2024?","The documents do not provide the correct date for the game against the Anaheim Ducks. The given date is October 31, 2024, but the event name is Anaheim Ducks, which suggests the correct date should be earlier in the month. Without additional information, it is not possible to determine the exact start time for the game on October 29, 2024."
Which organization sponsors Youth Hockey Night?,The Pittsburgh Penguins Foundation sponsors Youth Hockey Night.
"What annual event is scheduled at PPG Paints Arena on November 19, 2024?","I'm sorry, but there is no annual event scheduled at PPG Paints Arena on November 19, 2024, according to the provided documents."
What organization hosted the Science of Hockey program?,The Science of Hockey program is hosted by Carnegie Science Center's Science on the Road outreach initiative.
How many COOL Zone igloos are there in the Pittsburgh region?,There are currently 8 COOL Zone igloos in the Pittsburgh region.
Who is the Director of International Scouting?,Ross Kwan
"What significant event took place at Three Rivers Stadium on July 12, 1994?","The Pirates played baseball at Three Rivers Stadium until 2000. However, by the 1990s, they were threatening to leave Pittsburgh unless a new baseball-only stadium was constructed. The Pirates played their final game at Three Rivers on October 1, 2000, and the stadium was demolished the following winter. No significant event related to lacrosse took place at Three Rivers Stadium on July 12, 1994."
"Who did Pittsburgh sign in 1891, leading to the nickname ""Pirates""?","The nickname ""Pirates"" for the Pittsburgh baseball team originated from their allegedly piratical act in 1891, but no specific player or signing event is directly linked to the nickname in the provided documents."
What scholarship fund receives a portion of the proceeds from the Hall of Honor Museum?,The John Stallworth Foundation receives a portion of the proceeds from the Hall of Honor Museum. The Foundation provides merit-based scholarships to deserving students attending Alabama A&M University and other universities in Alabama.
Who are the co-captains for the Steelers Style 2024 fashion show?,Melanie Crockard and Michele Fabrizi are the co-chairs for the Steelers Style 2024 fashion show.
What is the nickname given to the Steelers' fanbase?,The Steelers' fanbase is often referred to as 'Steeler Nation'.
How many Super Bowl titles have the Pittsburgh Steelers won?,The Pittsburgh Steelers have won six Super Bowl titles.
What is the iconic fan symbol associated with the Steelers?,"The Terrible Towel, a yellow and black towel, is the iconic fan symbol associated with the Steelers. It was popularized by radio broadcaster Myron Cope and has spread in popularity, becoming a widely recognized symbol of the Steelers and the city of Pittsburgh. The towel's design is based on the Steelmark logo, which was originally designed by Pittsburgh's US Steel and is now owned by the American Iron and Steel Institute."
What is the name of the Pittsburgh baseball team?,The Pittsburgh baseball team is called the Pittsburgh Pirates.
Which bridge serves as an entry to PNC Park?,The Roberto Clemente bridge serves as an entry to PNC Park. It is closed off to vehicular traffic on game days and replaced by a dynamic interactive retail/restaurant and sports pavilion beyond right field.
What is the unique feature of Highmark Stadium?,Highmark Stadium offers a unique feature where every seat provides a good view of the city as a backdrop.
When was the Terrible Towel created?,"The Terrible Towel was created in 1975 by Myron Cope, a Pittsburgh Steelers broadcaster, during a playoff football game against the Baltimore Colts. The towels were used to excite fans and the Steelers won that day."
What is the seating capacity of Acrisure Stadium?,"Acrisure Stadium has various seating options including the Supporters Section, club suites, and the IC Light Corner Kick Suite. However, the document does not provide information on the seating capacity of the entire stadium."
What are the Saturday box office hours for the Pittsburgh Symphony Orchestra?,"The Pittsburgh Symphony Orchestra box office is open on Saturdays from 12:00 PM to 8:00 PM. However, it is closed on nonperformance days."
What amenities are available for guests with accessibility needs at Heinz Hall?,"Heinz Hall offers accessible services for guests with disabilities, including sensory friendly performances, accessible seating, and assistive listening devices. The box office can be contacted for more information."
"What event is happening at Heinz Hall on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra does not have an event scheduled at Heinz Hall on Wed, Oct 16, 2024."
For how long is the Pittsburgh Symphony Orchestra box office open after the start of the performance?,The Pittsburgh Symphony Orchestra box office is open for walkup sales 30 minutes after the start of the performance.
What are the Saturday box office hours for the Pittsburgh Symphony Orchestra?,"The Pittsburgh Symphony Orchestra box office is open on Saturdays from 12:00 PM to 8:00 PM. However, it is closed on nonperformance days."
What is the role of Yevgeny Faniuk in the Pittsburgh Symphony Orchestra?,Yevgeny Faniuk is not mentioned in the provided documents related to the Pittsburgh Symphony Orchestra and Manfred Honeck.
Who is the Jane & Rae Burton Chair of the Pittsburgh Symphony Orchestra?,"Annette Gordon-Reed is not the Jane & Rae Burton Chair of the Pittsburgh Symphony Orchestra. She is a speaker in their Speakers Series event on November 13, 2024, at Heinz Hall."
